Periodo,Índice general 
02/01/2009,69.42040361
01/02/2009,69.5390382
02/02/2009,69.67994916
01/03/2009,69.89546003
02/03/2009,70.12444033
01/04/2009,70.22442494
02/04/2009,70.28555543
01/05/2009,70.04465987
02/05/2009,70.05657513
01/06/2009,70.15086114
02/06/2009,70.20784719
01/07/2009,70.34875814
02/07/2009,70.3917567
01/08/2009,70.46946495
02/08/2009,70.60830369
01/09/2009,70.88649921
02/09/2009,70.89893253
01/10/2009,71.14449059
02/10/2009,71.06989067
01/11/2009,71.44340832
02/11/2009,71.5092013
01/12/2009,71.6910386
02/12/2009,71.8521537
01/01/2010,72.38989477
02/01/2010,72.71419719
01/02/2010,72.84681926
02/02/2010,73.09652176
01/03/2010,73.43066722
02/03/2010,73.54878376
01/04/2010,73.32239373
02/04/2010,73.18873555
01/05/2010,72.79501376
02/05/2010,72.79242349
01/06/2010,72.76082213
02/06/2010,72.78154433
01/07/2010,72.88929977
02/07/2010,72.96959829
01/08/2010,73.0846065
02/08/2010,73.17837445
01/09/2010,73.47314773
02/09/2010,73.55707264
01/10/2010,73.9119403
02/10/2010,74.0259124
01/11/2010,74.53049795
02/11/2010,74.5931826
01/12/2010,74.73720189
02/12/2010,75.12470701
01/01/2011,75.255424
02/01/2011,75.33655869
01/02/2011,75.49131558
02/02/2011,75.6656049
01/03/2011,75.70241601
02/03/2011,75.7437346
01/04/2011,75.67537112
02/04/2011,75.76026203
01/05/2011,75.19231925
02/05/2011,75.12545826
01/06/2011,75.08413967
02/06/2011,75.22612537
01/07/2011,75.46351944
02/07/2011,75.56944528
01/08/2011,75.63405253
02/08/2011,75.63705752
01/09/2011,75.79707314
02/09/2011,75.84440171
01/10/2011,76.30942364
02/10/2011,76.35675221
01/11/2011,77.09447683
02/11/2011,77.22218883
01/12/2011,77.61283731
02/12/2011,77.97193341
01/01/2012,78.21984494
02/01/2012,78.46625398
01/02/2012,78.52034377
02/02/2012,78.48353266
01/03/2012,78.52109502
02/03/2012,78.57293107
01/04/2012,78.24538734
02/04/2012,78.35582066
01/05/2012,77.98169962
02/05/2012,78.12593906
01/06/2012,78.31450207
02/06/2012,78.5128313
01/07/2012,78.81858886
02/07/2012,78.88920608
01/08/2012,78.99663441
02/08/2012,79.18444618
01/09/2012,79.38202416
02/09/2012,79.49621371
01/10/2012,79.85380732
02/10/2012,79.82751367
